state,year,no_college_RR,unemployment_RR,median_income_ratio,renters_RR,incarceration_RR,two_class,three_class,four_class,five_class,three_class_reordered
Alabama,2019,1.141308898007435,2.0652173913043477,1.7075866540910165,2.112362365704921,NA,1,1,1,1,2
Alaska,2019,1.2401597844235843,0.9038461538461536,1.3802801048383206,2.0320335532164795,3.65545125930733,1,2,1,1,1
Arizona,2019,1.1613641042016505,1.7346938775510206,1.3644747393744987,2.2613251884289154,4.31883312313561,1,2,1,1,1
Arkansas,2019,1.120445013851057,2.045454545454545,1.6115060804490178,1.976951537583689,3.3689680331886,1,2,1,1,1
California,2019,1.3262643588151817,2.03921568627451,1.6800547871211682,1.781815110537836,8.16123981390361,1,1,4,3,2
Colorado,2019,1.396983074497423,1.8157894736842104,1.5204249472686109,2.025405109025757,6.97525822361047,1,1,4,3,2
Connecticut,2019,1.406446298703243,2.2608695652173916,1.8270816326530612,2.5152297560988393,8.7477902494748,2,1,4,3,2
Delaware,2019,1.171740870360975,1.7608695652173914,1.469668989892973,2.4827904199699327,4.16390946904539,1,2,1,1,1
Florida,2019,1.2134541123202722,1.9361702127659577,1.4791137115725863,2.13621156372697,3.83661807254422,1,2,1,1,1
Georgia,2019,1.1715262411371496,2,1.52126706962167,2.0493530867297896,2.9960736530236,1,2,1,1,1
Hawaii,2019,1.3034765561321486,2.066666666666667,1.179497115301817,1.7823882240599698,1.98116388971881,1,2,1,1,1
Idaho,2019,1.043000259417286,2.125,1.3371520193335502,2.2587282698812112,4.1179481757493,1,2,1,1,1
Illinois,2019,1.2800966992582514,3.2790697674418605,1.9102999507427476,2.4063691211432867,8.23219077671339,2,3,2,5,3
Indiana,2019,1.1259504684888024,2.675,1.715460667717438,2.4317431477470564,4.90944198534488,1,1,1,4,2
Iowa,2019,1.1733911436026785,3.3125,1.948660505927378,2.9385362873870817,9.83598170021294,2,3,2,5,3
Kansas,2019,1.2475426700054535,2.228571428571428,1.6565035846529583,2.223270812822937,6.60756378104033,1,1,4,3,2
Kentucky,2019,1.0987943969768288,1.8627450980392155,1.438254996705469,2.2198273377191575,3.10071577702818,1,2,1,1,1
Louisiana,2019,1.1744984286740758,2.127659574468085,1.99603798297315,2.1895966676571996,NA,1,1,4,4,2
Maine,2019,1.087409596528374,1.875,1.3641173865411065,2.9395390470655576,6.83231686674407,1,2,3,2,1
Maryland,2019,1.2800922092766176,1.9736842105263157,1.4092005385969844,2.099211281662097,4.51686322823987,1,2,1,1,1
Massachusetts,2019,1.3876833080853987,2.0731707317073176,1.7101192083638748,2.187120652201502,7.0523698742467,1,1,4,3,2
Michigan,2019,1.1844108993804876,2.8913043478260874,1.7482022535530264,2.610576860238655,NA,2,3,2,4,3
Minnesota,2019,1.2643471634129133,3.03448275862069,1.982095157493851,3.244351913115905,10.6381427314151,2,3,2,5,3
Mississippi,2019,1.1406613814983766,2.1346153846153846,1.8302402813049423,2.1085603918651383,2.76900039487144,1,1,1,1,2
Missouri,2019,1.16702424671428,2.358974358974359,1.5906291185884505,2.2269203935566897,3.69676062916175,1,2,1,1,1
Montana,2019,0.9996689802338734,1.8857142857142857,1.2664410274801632,2.420368437429731,4.76275721320947,1,2,3,2,1
Nebraska,2019,1.1948667866080716,3.0769230769230766,1.8003113186568824,2.3604578308391875,8.43573146178587,2,3,2,5,3
Nevada,2019,1.167756198532317,1.8727272727272728,1.6191450991860408,1.9640164427175837,3.87831509332255,1,2,1,1,1
New Hampshire,2019,1.1610620499421032,2.3823529411764706,1.337816141562365,2.500491025566113,5.18736742601693,1,2,1,2,1
New Jersey,2019,1.353637792372708,2.130434782608696,1.7740342178902098,2.627324509247078,11.4346100786792,2,1,4,5,2
New Mexico,2019,1.2141667116994137,1.4599999999999995,1.4758932096328463,2.1534266037235543,6.07532795867517,1,2,1,1,1
New York,2019,1.3317754841861276,2.2195121951219514,1.6224643202833784,2.0681880153222867,7.62474817255774,1,1,4,3,2
North Carolina,2019,1.2105922704426753,2.116279069767442,1.5862739081517847,2.047853953625545,4.12174359824826,1,2,1,1,1
North Dakota,2019,1.1229092359776838,3.3181818181818175,1.8093578369243768,2.7518260813233795,4.7763293354981204,2,3,2,4,3
Ohio,2019,1.1718323141610747,2.674418604651163,1.8525544363351227,2.3197782950463757,5.6220504098713,2,1,4,4,2
Oklahoma,2019,1.1183049798887197,2.261904761904762,1.616925430643699,2.107470740050078,5.28152382044207,1,2,1,1,1
Oregon,2019,1.126446662578139,1.7307692307692306,1.5412826466856582,1.936432948502413,5.21082434889203,1,2,1,1,1
Pennsylvania,2019,1.205278367809708,2.642857142857143,1.7163900414937758,2.2265067434255466,8.10502134057691,2,1,4,3,2
Rhode Island,2019,1.2643124508633492,2.204545454545454,1.61068952697531,2.0931921088981587,7.89635821522626,1,1,4,3,2
South Carolina,2019,1.259223578774454,2.022222222222222,1.777841103385387,2.0559065541210853,4.11634896951376,1,1,1,1,2
South Dakota,2019,1.20565664114103,1.727272727272727,1.5952565493721904,2.892825830454679,4.97761727972469,1,2,3,2,1
Tennessee,2019,1.11562794649398,1.977777777777778,1.4749813100977032,2.0946305113543477,3.32657852822862,1,2,1,1,1
Texas,2019,1.2301389809046284,1.902439024390244,1.6292836897706775,2.0099974175452675,3.74713740277082,1,2,1,1,1
Utah,2019,1.196783054010514,1.9393939393939392,1.8017579996167847,2.7273510126637923,6.70999468789663,1,1,4,4,2
Vermont,2019,1.0339642548600638,1.2571428571428571,1.5931472081218274,2.7035577097555,7.45150369792492,1,2,3,2,1
Virginia,2019,1.308389187989496,1.9210526315789471,1.549463739497425,1.952017033976155,4.73706694700882,1,2,1,1,1
Washington,2019,1.1959556980933308,1.7333333333333334,1.449584771150127,2.115217012359558,5.15239705308295,1,2,1,1,1
West Virginia,2019,1.0652032553876964,1.640625,1.4223885552168534,2.2901429730486864,3.45463117234109,1,2,1,1,1
Wisconsin,2019,1.24802990881901,3.3333333333333335,2.0709706229466365,2.6599295598406414,11.5448078616381,2,3,2,5,3
Wyoming,2019,0.9931106630908384,2.1707317073170738,1.3870552483855991,2.5566791102469457,4.57137253480369,1,2,3,2,1
