state,year,total_both_genders_white,total_male_white,less_than_hs_male_white,hs_grad_male_white,some_college_male_white,college_degree_male_white,total_female_white,less_than_hs_female_white,hs_grad_female_white,some_college_female_white,college_degree_female_white,total_both_genders_black,total_male_black,less_than_hs_male_black,hs_grad_male_black,some_college_male_black,college_degree_male_black,total_female_black,less_than_hs_female_black,hs_grad_female_black,some_college_female_black,college_degree_female_black,percent_no_college_white,percent_no_college_black,edu_RR
Alabama,2019,2288814,1098049,135537,335060,316310,311142,1190765,130741,353592,374158,332274,831045,369995,71286,145769,100680,52260,461050,68201,141203,154710,96936,0.7188867247404114,0.8204718156056532,1.141308898007435
Alaska,2019,319243,169066,7544,45126,60799,55597,150177,5660,32258,52564,59695,15401,8925,633,2933,4066,1293,6476,316,1566,2688,1906,0.6388581738675554,0.7922862151808324,1.2401597844235845
Arizona,2019,2930339,1430235,86367,318078,502655,523135,1500104,80209,336059,559519,524317,196606,100895,10702,26046,39919,24228,95711,9536,20485,40026,25664,0.6425492067641321,0.7462335839191072,1.1613641042016503
Arkansas,2019,1542183,743379,86838,267029,211686,177826,798804,78587,263188,251890,205139,281226,128156,22214,54311,35688,15943,153070,23805,46964,53869,28432,0.7516734395334406,0.8422087573695177,1.1204450138510573
California,2019,11199800,5542953,289529,1011882,1749916,2491626,5656847,278238,1026582,1917733,2434294,1544982,753780,84910,196396,290997,181477,791202,73015,175480,327037,215670,0.5601778603189342,0.7429439307383516,1.3262643588151815
Colorado,2019,2795761,1386552,51635,274134,411159,649624,1409209,45008,262101,431061,671039,149058,80928,7410,23411,29378,20729,68130,7190,16889,25589,18462,0.5276194925102682,0.7370755008117645,1.396983074497423
Connecticut,2019,1771370,847063,49965,225476,200497,371125,924307,48094,230731,235815,409667,246556,113157,16703,43564,31192,21698,133399,16348,43477,42634,30940,0.5592157482626441,0.78650691932056,1.4064462987032427
Delaware,2019,451436,214908,17584,66741,56729,73854,236528,14439,71723,68171,82195,136568,61745,7391,25307,16197,12850,74823,7259,25381,23172,19011,0.6543275237242931,0.7667023021498448,1.171740870360975
District of Columbia,2019,198177,100184,489,2355,5812,91528,97993,581,1688,5177,90547,218421,95122,14101,31840,23466,25715,123299,15814,39517,33965,34003,0.08125059921181566,0.7265922232752345,8.94260756626607
Florida,2019,8744092,4230294,329293,1164385,1266675,1469941,4513798,293166,1295325,1468256,1457051,2128338,989377,179775,360522,286984,162096,1138961,177679,347294,365875,248113,0.6652606125370135,0.8072632260477424,1.2134541123202722
