state,year,total_num_occupied_homes_total,num_renter_occupied_homes_total,total_num_occupied_homes_black,num_renter_occupied_homes_black,total_num_occupied_homes_white_non_hispanic,num_renter_occupied_homes_white_non_hispanic,white_renter_occupied_homes_percent,black_renter_occupied_homes_percent,bw_renters_RR
Alabama,2019,1867893,583145,489933,241072,1271914,296278,0.2329387049753364,0.4920509539059422,2.112362365704921
Alaska,2019,253346,90350,8218,5126,175492,53869,0.3069598614181843,0.6237527378924312,2.0320335532164795
Arizona,2019,2571268,914512,108736,71115,1672581,483740,0.28921768213318216,0.6540152295467923,2.2613251884289154
Arkansas,2019,1158071,398616,174264,98440,881899,251992,0.28573793597679553,0.5648900518753156,1.976951537583689
California,2019,13044266,5889686,818832,534266,6231619,2281923,0.36618461430328136,0.6524732790120562,1.7818151105378361
Colorado,2019,2148994,747259,80945,48842,1614843,481085,0.2979144102553623,0.6033973685836062,2.025405109025757
Connecticut,2019,1370746,465065,135220,81914,992605,239065,0.24084605658847175,0.605783168170389,2.5152297560988393
Delaware,2019,363322,104542,74927,36706,246718,48681,0.1973143426908454,0.4898901597554953,2.4827904199699327
District of Columbia,2019,284386,166019,123184,79850,119278,59271,0.4969147705360586,0.6482173009481751,1.3044838660136733
Florida,2019,7736311,2677470,1064084,582105,4800896,1229429,0.2560832394619671,0.5470479774153169,2.13621156372697
Georgia,2019,3758798,1381025,1160923,618451,2161570,561894,0.2599471680306444,0.5327235311902684,2.0493530867297896
Hawaii,2019,459424,189047,9977,7657,136104,58604,0.4305824957385529,0.7674651698907488,1.7823882240599698
Idaho,2019,630008,189292,3057,1907,547253,151140,0.2761793905195586,0.62381419692509,2.2587282698812112
Illinois,2019,4846134,1643419,674203,412588,3303726,840171,0.2543101334674849,0.6119640523699835,2.4063691211432867
Indiana,2019,2570419,794237,235992,148269,2129510,550193,0.2583660090819015,0.6282797721956677,2.4317431477470564
Iowa,2019,1265473,366250,38844,29374,1135997,292338,0.25734046832870155,0.7562043043970755,2.9385362873870817
Kansas,2019,1129227,381104,64559,42070,917299,268865,0.2931050835114832,0.65165197726111,2.223270812822937
Kentucky,2019,1734618,568587,140519,89152,1507458,430846,0.28580962122991155,0.6344480105893153,2.2198273377191575
Louisiana,2019,1739497,598292,527045,278438,1088755,262692,0.2412774223769351,0.5283002400174558,2.1895966676571996
Maine,2019,559921,155162,4978,3879,533085,141313,0.2650853053453014,0.7792286058658096,2.9395390470655576
Maryland,2019,2205204,730055,648484,314579,1245794,287886,0.23108635938204872,0.4850990926530184,2.099211281662097
Massachusetts,2019,2617497,984732,173234,114115,2013404,606412,0.30118744176528905,0.6587332740686008,2.187120652201502
Michigan,2019,3935041,1132342,527956,307342,3087557,688498,0.22299118688335146,0.5821356325148308,2.610576860238655
Minnesota,2019,2185603,620733,113728,86148,1873239,437364,0.23348008449535804,0.757491558806978,3.244351913115905
Mississippi,2019,1104394,351553,400619,186206,659530,145382,0.2204327324003457,0.4647957286099761,2.1085603918651383
Missouri,2019,2414521,802535,272262,169786,1982937,555289,0.28003360671569494,0.6236125496764147,2.2269203935566897
Montana,2019,427871,136400,1444,1043,386549,115356,0.29842529666355366,0.7222991689750693,2.420368437429731
Nebraska,2019,759176,257497,34227,23937,641373,190027,0.29628157094233776,0.6993601542641774,2.3604578308391875
Nevada,2019,1098602,479997,100269,70939,645317,232459,0.3602245098145563,0.7074868603456701,1.9640164427175835
New Hampshire,2019,532037,153859,6381,4316,494425,133742,0.2705000758456793,0.6763830120670741,2.500491025566113
New Jersey,2019,3231874,1167634,428807,262086,1977442,460015,0.23263134898520413,0.6111980448080372,2.627324509247078
New Mexico,2019,780249,252353,15916,9518,362325,100619,0.2777037190367764,0.5980145765267655,2.1534266037235543
New York,2019,7343234,3385432,1091282,749802,4534313,1506368,0.33221526612741553,0.6870836319118248,2.0681880153222867
North Carolina,2019,3965482,1379548,836021,455396,2702764,718921,0.2659947372393594,0.5447183742992102,2.047853953625545
North Dakota,2019,318322,119840,8557,7890,280554,94005,0.3350691845420133,0.9220521210704686,2.7518260813233795
Ohio,2019,4676358,1587312,584521,376477,3799219,1054839,0.2776462741421329,0.6440778004554156,2.3197782950463757
Oklahoma,2019,1480061,508939,108079,66390,1065656,310611,0.2914739840999347,0.614272892976434,2.107470740050078
Oregon,2019,1611982,606086,27230,18069,1325531,454228,0.3426762557797592,0.6635695923613661,1.936432948502413
Pennsylvania,2019,5053106,1572128,513862,292046,4086664,1043157,0.255258812566925,0.5683354674990562,2.2265067434255466
Rhode Island,2019,410489,160997,24315,16129,320939,101706,0.3169013426227414,0.663335389677154,2.0931921088981587
South Carolina,2019,1921862,588023,496273,232707,1300207,296550,0.22807906741003547,0.46890924954611674,2.0559065541210853
South Dakota,2019,344397,110790,5481,4431,303632,84853,0.27946000421562944,0.8084291187739464,2.8928258304546794
Tennessee,2019,2597292,875045,422149,240507,2004934,545324,0.2719909982074223,0.5697206436589924,2.0946305113543477
Texas,2019,9691647,3686845,1240150,735800,4823649,1423855,0.29518213286248646,0.5933153247591018,2.0099974175452675
Utah,2019,977313,291614,9616,6834,811581,211481,0.26057904263406856,0.7106905158069884,2.7273510126637923
Vermont,2019,260029,76030,2450,1853,246443,68943,0.2797523159513559,0.7563265306122449,2.7035577097555
Virginia,2019,3151045,1063334,590176,307925,2124497,567853,0.2672882098680299,0.5217511386433877,1.9520170339761547
Washington,2019,2848396,1055157,101897,69783,2153054,697089,0.3237675413621767,0.6848386115391032,2.115217012359558
West Virginia,2019,732585,196432,25114,14477,686346,172760,0.2517097790327328,0.5764513816994505,2.2901429730486864
Wisconsin,2019,2358156,777217,132136,98476,2030721,568970,0.28018127551741473,0.7452624568626264,2.6599295598406414
Wyoming,2019,230101,68129,2121,1511,202923,56543,0.27864263784785365,0.7123998114097124,2.5566791102469457
Puerto Rico,2019,1192654,380029,144087,46646,10661,3884,0.3643185442266204,0.32373496568045695,0.8886041372603891
