incarceration_rate_state_vector,incarceration_rate_2010_black_nh,incarceration_rate_2011_black_nh,incarceration_rate_2012_black_nh,incarceration_rate_2013_black_nh,incarceration_rate_2014_black_nh,incarceration_rate_2015_black_nh,incarceration_rate_2016_black_nh,incarceration_rate_2017_black_nh,incarceration_rate_2018_black_nh,incarceration_rate_2019_black_nh,incarceration_rate_2010_white_nh,incarceration_rate_2011_white_nh,incarceration_rate_2012_white_nh,incarceration_rate_2013_white_nh,incarceration_rate_2014_white_nh,incarceration_rate_2015_white_nh,incarceration_rate_2016_white_nh,incarceration_rate_2017_white_nh,incarceration_rate_2018_white_nh,incarceration_rate_2019_white_nh,white_incarceration_rate_2010_2014,white_incarceration_rate_2015_2019,black_incarceration_rate_2010_2014,black_incarceration_rate_2015_2019,bw_incarc_rr_2019,bw_incarc_rr_2014
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597.8755048671662,622.008083234348,633.5701700401329,638.0071973952283,629.4433441175471,623.9857044774066,595.2487491552596,593.5606337154121,599.8082022878726,645.8121223795055,624.1808599308845,611.6830824030912,NA,NA,NA,NA
Alaska,NA,NA,NA,NA,2858.7319243604006,2798.2573726541555,2440.2335573427345,2471.9224840343536,2553.381278920667,2499.2915840181354,NA,NA,NA,NA,863.0639843001345,795.526443112881,648.8532844469836,652.3540634816628,647.4267169454334,666.3431449656118,863.0639843001345,682.1007305905144,2858.7319243604006,2552.617255394009,3.7422878189620676,3.3123058966231445
Arizona,3118.3182051115914,3067.1753801028885,2936.117799798045,2926.2251641303524,2942.5818477775733,2960.770175990901,2863.0756076706975,2799.867461895295,2787.188807352033,NA,640.5471219107818,648.884605055007,662.7071090285017,678.830856192488,702.4584783631084,706.5549269069477,694.2191246307681,689.5539534848413,689.3117983670476,NA,666.6856341099774,694.9099508474012,2998.0836793840904,2852.7255132272317,4.105172921683598,4.496997574256298
Arkansas,2290.2131557809626,2236.9217011651454,2046.6878129341758,2359.4348050051185,2360.789767852965,2337.3783188345783,2279.140718475972,2322.1873506657885,2288.124346562311,2259.5182897923933,614.1396346259652,612.8078527069543,556.3633662000234,665.5968177685968,711.8010361271387,703.2822471138787,702.7255858029815,732.6049770210004,726.806825461534,735.7037798438104,632.1417414857357,720.224683048641,2258.809448547673,2297.2698048662087,3.1896571430211043,3.5732641910954133
California,3106.807054985713,2809.3178191163397,2551.507322495019,2536.5292949546465,2514.56458589522,2384.9237965509265,2388.0564383061305,2401.1037783180886,2352.556719118302,2254.099687513355,401.16912422202176,350.8563058352928,306.0579265997107,305.4215405909563,305.86135842549527,285.99336994205026,289.0545069089765,291.84477422241963,287.4542884570802,276.2406199201631,333.87325113469535,286.11751189013796,2703.745215489387,2356.1480839613605,8.234896453545504,8.098118691151477
Colorado,3260.007853655284,3052.3772555449946,2793.953880964372,2661.628477283246,2593.7567160971416,2380.189499702476,2274.367539327206,2211.214059116773,2179.43031736645,2126.626234663461,403.42337234356154,390.84350654806923,362.9903800966857,360.08452882163857,371.51841939670743,358.94988736763065,357.13830377850314,353.4819180403464,358.014459159669,344.1439819061151,377.77204144133253,354.3457100504529,2872.3448367090077,2234.3655300352734,6.305609089262396,7.6033811971632606
Connecticut,3456.1156521190983,3205.616066341447,2990.652666932832,2991.8629132558913,2792.415403037548,2580.1469911621266,2461.4467408585056,2301.2667813027497,2289.499839566752,2111.797874647582,343.46742496479095,339.78531772541845,334.3472821195,332.7951180424043,327.9245469119018,322.0623852258977,299.815367937259,279.649831993318,271.0673984210762,256.2495537449722,335.6639379528031,285.76890746450465,3087.3325403373633,2348.831645507543,8.219339417810145,9.197689090960571
Delaware,3063.9201134153996,2991.5052252032024,2951.2458716567035,2938.167043833509,2783.8790040833173,2699.050428288083,2661.406025824964,2632.6801279459846,2521.7616616595587,2353.754667404232,613.1479946438819,655.2353714745349,703.3253014526817,723.2179320826505,752.3948684541776,697.6895881439735,686.7611795885742,657.6626050230673,598.1773656108234,540.1424011784925,689.4642936215853,636.0866279089862,2945.7434516384264,2573.7305822245644,4.046195076738548,4.272510525766556
District of Columbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2549.242984587214,2433.7132385337677,2359.336614142426,2348.6873224115907,2295.2299929928236,2236.578868575651,2169.250662629882,2097.8738543808986,2048.1383116284405,2003.862458616515,599.9762187768254,598.1763165314552,596.7398378664145,607.9230675273459,606.5935000059769,588.5247686060421,574.1956925919646,570.5502166137055,571.4947163570516,561.29043181831,601.8817881416037,573.2111651974149,2397.2420305335645,2111.140831166277,3.6830071696862303,3.982911724136716
