"state_vector","ave_incarceration_rate_per100k_black_nh","ave_incarceration_rate_per100k_white_nh","num_years_included_black_nh","num_years_included_white_nh","ave_population_black_nh","ave_population_white_nh","ave_incarcerated_black_nh","ave_incarcerated_white_nh","bw_rr_incarc","year"
"Alabama",NA,617.931971166988,0,10,869509.7,2083330.5,NA,12874.1,NA,2019
"Alaska",2603.63636688841,712.261272875451,6,6,17668.8,321866.8,467.666666666667,2240.66666666667,3.65545125930733,2019
"Arizona",2933.48004998104,679.229774882166,9,9,195830.9,2384975,5628.55555555556,16195.2222222222,4.31883312313561,2019
"Arkansas",2278.03962670694,676.183212267188,10,10,307090.5,1396194.7,6996.4,9431.3,3.3689680331886,2019
"California",2529.94664972537,309.995381512417,10,10,1551718.3,9870670.4,39253.5,30687,8.16123981390361,2019
"Colorado",2553.35518337214,366.058875745893,10,10,150286.5,2552945.9,3801.6,9338.5,6.97525822361047,2019
"Connecticut",2718.08209292245,310.716422708654,10,10,248430.5,1623365.9,6726.6,5063,8.7477902494748,2019
"Delaware",2759.7370169315,662.775460765286,10,10,136732.6,382956.2,3762.9,2540.4,4.16390946904539,2019
"District of Columbia",NA,NA,0,0,210500.9,192663.8,NA,NA,NA,2019
"Florida",2254.19143084992,587.546476669509,10,10,2118374.3,6806444.9,47604.9,39995,3.83661807254422,2019
"Georgia",1533.13678146054,511.715317783767,10,10,2167916.4,3639433.4,33142.5,18619.3,2.9960736530236,2019
"Hawaii",1206.44461336847,608.957502016505,5,5,19484.4,215987.7,254,1263.2,1.98116388971881,2019
"Idaho",2969.32626456178,721.069362176098,8,8,7603.6,875745.1,224.75,6326.125,4.1179481757493,2019
"Illinois",2090.14729941636,253.89927858922,10,10,1230447.3,5300719.2,25754.2,13468.7,8.23219077671339,2019
"Indiana",2356.43596228238,479.980407002781,10,10,410942,3483868.7,9657.6,16721.7,4.90944198534488,2019
"Iowa",3333.16941314671,338.87511330715,10,10,70044.1,1743548.6,2302,5905.3,9.83598170021294,2019
"Kansas",2562.18446031466,387.765376955811,9,9,114082,1440942.9,2928.77777777778,5564.88888888889,6.60756378104033,2019
"Kentucky",2055.82890304168,663.017525912049,10,10,242429.5,2487671.3,4977.6,16478.2,3.10071577702818,2019
"Louisiana",NA,NA,0,0,992687.3,1810227.3,NA,NA,NA,2019
"Maine",1612.77099883324,236.05038090129,8,8,11985,819871.6,203,1919.25,6.83231686674407,2019
"Maryland",1018.46463013622,225.480511291261,6,6,1215846.3,2070210,12520.8333333333,4570.5,4.51686322823987,2019
"Massachusetts",825.224634651545,117.013805198312,10,10,325595.7,3363827.2,2662,3943.9,7.0523698742467,2019
"Michigan",NA,NA,0,0,929620.5,4958702.4,NA,NA,NA,2019
"Minnesota",1719.07731596667,161.595624289766,10,10,212063.6,2939261.7,3613.3,4747.7,10.6381427314151,2019
"Mississippi",1743.35312976734,629.596562353788,10,10,745541,1096907.4,12992.9,6902.9,2.76900039487144,2019
"Missouri",2091.44028997177,565.749449253904,10,10,473299.4,3171938.6,9896.7,17943.6,3.69676062916175,2019
"Montana",1218.68007173217,255.877009298766,10,10,3686.3,579773.6,47.9,1481.3,4.76275721320947,2019
"Nebraska",2405.15391000275,285.115039626163,10,10,58670.5,979681.6,1413.9,2791.6,8.43573146178587,2019
"Nevada",2314.26735737872,596.719787250728,10,10,166238.7,960042.7,3834.7,5726.7,3.87831509332255,2019
"New Hampshire",1499.8979780949,289.144349130206,9,9,12067.3,822387.2,183.555555555556,2372.22222222222,5.18736742601693,2019
"New Jersey",1670.17821934048,146.063416928809,9,9,790039.7,3278219.8,13196.6666666667,4828.33333333333,11.4346100786792,2019
"New Mexico",1974.73317643293,325.041411733689,7,7,26624.6,511250.2,521.428571428571,1705,6.07532795867517,2019
"New York",1303.32078886904,170.932961898968,10,10,1963566,7319148.8,25607.3,12521.1,7.62474817255774,2019
"North Carolina",1336.86085690014,324.343527207346,10,10,1464240.9,4223011.6,19522.9,13697.2,4.12174359824826,2019
"North Dakota",1207.03793332697,252.712459410233,10,10,11830.2,416788.9,134.9,1054.2,4.77632933549812,2019
"Ohio",2270.98926162213,403.943240643072,10,10,953553.3,6089878.4,21670.5,24536.5,5.6220504098713,2019
"Oklahoma",1796.33693525894,340.117170030785,10,10,195488.3,1684529.4,3474.3,5773.8,5.28152382044207,2019
