state,year,incarceration_RR
Alaska,2019,4.073530106604137
Alabama,2019,2.792119149761586
Arkansas,2019,3.3683174166307577
Arizona,2019,4.091366909874488
California,2019,8.299741985940296
Colorado,2019,6.279960780184022
Connecticut,2019,8.184062257137446
District of Columbia,2019,NA
Delaware,2019,4.158855593942359
Florida,2019,3.520497677506999
Georgia,2019,2.736841785610195
Hawaii,2019,1.9835086068761574
Iowa,2019,8.532657522215349
Idaho,2019,3.9050085506509977
Illinois,2019,7.785259667111166
Indiana,2019,4.430680605071325
Kansas,2019,6.070880308877768
Kentucky,2019,2.802076587253773
Louisiana,2019,3.6784859852169767
Massachusetts,2019,6.140214178831947
Maryland,2019,4.550592819037273
Maine,2019,6.649859125887304
Michigan,2019,6.390595839740445
Minnesota,2019,9.476687953603786
Missouri,2019,3.573410219161531
Mississippi,2019,2.5367476295429077
Montana,2019,5.291615913137735
North Carolina,2019,3.7851537110808833
North Dakota,2019,3.679706961955007
Nebraska,2019,8.23160260618864
New Hampshire,2019,2.8101804668934314
New Jersey,2019,11.268264436167314
New Mexico,2019,5.042841118225262
Nevada,2019,3.6706617829638595
New York,2019,7.273926243227461
Ohio,2019,5.346226189020609
Oklahoma,2019,4.089217808881315
Oregon,2019,4.667960900414902
Pennsylvania,2019,7.414153276319887
Rhode Island,2019,7.937112013720339
South Carolina,2019,3.772984607430318
South Dakota,2019,5.134900805793209
Tennessee,2019,3.2616000420943143
Texas,2019,3.299915171232191
Utah,2019,7.090595047288572
Virginia,2019,4.296068606842335
Vermont,2019,8.08610646591731
Washington,2019,4.869168739920209
Wisconsin,2019,11.389735367263949
West Virginia,2019,3.4408068331866044
Wyoming,2019,4.683895211542084
