State.Code,NAME,residents_2015_white_nh,residents_2015_black_nh,residents_2016_white_nh,residents_2016_black_nh,residents_2017_white_nh,residents_2017_black_nh,residents_2018_white_nh,residents_2018_black_nh,residents_2019_white_nh,residents_2019_black_nh,Region,Division,incarcerated_white_nh_2015,incarcerated_white_nh_2016,incarcerated_white_nh_2017,incarcerated_white_nh_2018,incarcerated_white_nh_2019,incarcerated_black_nh_2015,incarcerated_black_nh_2016,incarcerated_black_nh_2017,incarcerated_black_nh_2018,incarcerated_black_nh_2019,white_incarceration_rate_2015,white_incarceration_rate_2016,white_incarceration_rate_2017,white_incarceration_rate_2018,white_incarceration_rate_2019,black_incarceration_rate_2015,black_incarceration_rate_2016,black_incarceration_rate_2017,black_incarceration_rate_2018,black_incarceration_rate_2019,white_incarceration_rate_2015_2019,black_incarceration_rate_2015_2019,incarceration_2015_2019_RR
AK,Alaska,322428,17904,318562,18154,311334,18164,304436,17937,298795,17645,West,Pacific,2470,1965,1928,1877,1863,531,454,486,447,454,766.0625007753669,616.8343995831267,619.2706225468468,616.5499481007503,623.504409377667,2965.817694369973,2500.826264184202,2675.622109667474,2492.0555276802143,2572.966846132049,648.4443760767515,2641.4576884067824,4.073530106604137
AL,Alabama,2078413,877095,2067203,877124,2054550,875961,2043820,873257,2035112,869741,South,East South Central,13393,12704,12600,12566,13454,17284,16040,14857,14080,14631,644.3858848073025,614.5501917325004,613.2729794845586,614.829094538658,661.0938366045701,1970.596115586111,1828.7038092675607,1696.0800766244158,1612.3546676407975,1682.224938228737,629.6263974335179,1757.9919214695244,2.792119149761586
AR,Arkansas,1392613,309107,1386601,310073,1380826,309708,1373680,308943,1365903,307986,South,West South Central,9538,9591,9942,9802,9767,7516,7248,7387,7277,7282,684.8995377753906,691.6914094249174,720.0038237982193,713.5577427057248,715.058097097671,2431.5204767281234,2337.5140692675595,2385.149883115709,2355.450681840987,2364.3931867032916,705.0421221603847,2374.805659531134,3.3683174166307577
AZ,Arizona,2371224,196942,2373170,204675,2371098,211260,2378024,218715,2386273,226791,West,Mountain,16733,16462,16365,16379,16523,5863,5874,5930,6119,6233,705.6693083403339,693.6713341227135,690.1865717907906,688.7651260037745,692.4186796732813,2977.0186146175015,2869.915720043972,2806.9677175044967,2797.7047756212423,2748.3453928947797,694.1422039861787,2839.9904441363983,4.091366909874488
CA,California,9879250,1556360,9759405,1555114,9617784,1554660,9459591,1551461,9267645,1544386,West,Pacific,28119,28102,27811,26921,25510,37098,37193,37336,36491,35056,284.6268694485917,287.94788206863024,289.1622436103784,284.589471151554,275.25870919742823,2383.638746819502,2391.6574604819966,2401.5540375387545,2352.041076121153,2269.8988465318903,284.31703509531656,2359.758033498659,8.299741985940296
CO,Colorado,2564982,152929,2588353,156571,2600133,158872,2612185,162336,2620996,164721,West,Mountain,9253,9268,9175,9339,9026,3643,3541,3493,3517,3507,360.74327227247596,358.0655343378589,352.8665649026415,357.51679149830505,344.3729025149218,2382.1511943450882,2261.593781734804,2198.625308424392,2166.4941849004535,2129.054583204327,354.7130131052407,2227.5838105218127,6.279960780184022
CT,Connecticut,1618941,249947,1593981,251600,1568390,253556,1541683,255558,1512588,258216,Northeast,New England,5214,4806,4411,4153,3803,6462,6132,5765,5770,5457,322.0623852258977,301.50924007249773,281.2438232837496,269.380929802041,251.42338825906327,2585.348093795885,2437.201907790143,2273.6594677309945,2257.8044905657425,2113.3469653313505,285.1239533286499,2333.4721850428227,8.184062257137446
DC,District of Columbia,195047,212910,198754,212900,202698,211484,205474,209762,207510,206879,South,South Atlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE,Delaware,383265,137641,380336,139400,376941,140997,373635,142797,370643,144620,South,South Atlantic,2670,2565,2399,2144,1932,3694,3722,3722,3618,3436,696.6459238385974,674.4036851625931,636.4391244253079,573.8220455792417,521.2563032351886,2683.793346459267,2670.0143472022955,2639.772477428598,2533.6666736696147,2375.8816207993364,620.5134164481858,2580.6256931118223,4.158855593942359
FL,Florida,6789179,2140859,6806042,2174668,6797123,2203612,6764367,2223385,6732878,2240024,South,South Atlantic,48153,39689,39443,39167,38335,48684,47419,46493,45735,45121,709.2610166855227,583.1436244442806,580.2896313631518,579.019441139134,569.3701861224873,2274.040466934067,2180.5167501430105,2109.854184856499,2056.9986754430743,2014.3087752631222,604.2167799509152,2127.1437705279545,3.520497677506999
