state,year,median_income_black,median_income_white_non_hispanic,wb_income_RR
Alabama,2019,33928,57935,1.7075866540910163
Alaska,2019,62191,85841,1.3802801048383206
Arizona,2019,47386,64657,1.3644747393744987
Arkansas,2019,32070,51681,1.6115060804490178
California,2019,51837,87089,1.6800547871211682
Colorado,2019,51677,78571,1.5204249472686109
Connecticut,2019,49000,89527,1.8270816326530612
Delaware,2019,50361,74014,1.4696689898929727
District of Columbia,2019,45072,141650,3.142749378771743
Florida,2019,41702,61682,1.4791137115725865
Georgia,2019,44670,67955,1.5212670696216701
Hawaii,2019,69678,82185,1.179497115301817
Idaho,2019,43034,57543,1.3371520193335502
Illinois,2019,38573,73686,1.9102999507427476
Indiana,2019,34895,59861,1.715460667717438
Iowa,2019,32139,62628,1.948660505927378
Kansas,2019,38079,63078,1.6565035846529583
Kentucky,2019,36424,52387,1.438254996705469
Louisiana,2019,30540,60959,1.99603798297315
Maine,2019,42901,58522,1.3641173865411063
Maryland,2019,67583,95238,1.4092005385969844
Massachusetts,2019,51842,88656,1.7101192083638748
Michigan,2019,35322,61750,1.7482022535530264
Minnesota,2019,37811,74945,1.982095157493851
Mississippi,2019,30714,56214,1.8302402813049423
Missouri,2019,37179,59138,1.5906291185884505
Montana,2019,44614,56501,1.2664410274801632
Nebraska,2019,35976,64768,1.8003113186568824
Nevada,2019,41034,66440,1.6191450991860408
New Hampshire,2019,57925,77493,1.337816141562365
New Jersey,2019,53247,94462,1.7740342178902098
New Mexico,2019,40528,59815,1.4758932096328465
New York,2019,48557,78782,1.6224643202833784
North Carolina,2019,39108,62036,1.5862739081517847
North Dakota,2019,37872,68524,1.8093578369243768
Ohio,2019,33158,61427,1.8525544363351227
Oklahoma,2019,35296,57071,1.616925430643699
Oregon,2019,41773,64384,1.5412826466856582
Pennsylvania,2019,38560,66184,1.7163900414937758
Rhode Island,2019,45727,73652,1.61068952697531
South Carolina,2019,35092,62388,1.777841103385387
South Dakota,2019,38706,61746,1.5952565493721904
Tennessee,2019,38791,57216,1.4749813100977032
Texas,2019,46572,75879,1.6292836897706777
Utah,2019,41752,75227,1.8017579996167847
Vermont,2019,39400,62770,1.5931472081218274
Virginia,2019,51654,80036,1.549463739497425
Washington,2019,52742,76454,1.449584771150127
West Virginia,2019,33133,47128,1.4223885552168534
Wisconsin,2019,31351,64927,2.0709706229466365
Wyoming,2019,47386,65727,1.3870552483855991
Puerto Rico,2019,19525,30911,1.5831498079385404
