state,two_class,three_class,four_class,five_class
Alabama,1,1,2,1
Alaska,1,1,2,1
Arizona,1,1,2,1
Arkansas,1,1,2,1
California,1,3,1,3
Colorado,1,3,1,3
Connecticut,2,3,1,3
Delaware,1,1,2,1
Florida,1,1,2,1
Georgia,1,1,2,1
Hawaii,1,1,2,1
Idaho,1,1,2,2
Illinois,2,2,3,5
Indiana,1,1,2,4
Iowa,2,2,3,5
Kansas,1,1,1,1
Kentucky,1,1,2,1
Louisiana,1,1,2,4
Maine,1,1,4,2
Maryland,1,1,2,1
Massachusetts,1,3,1,3
Michigan,2,2,3,4
Minnesota,2,2,3,5
Mississippi,1,1,2,1
Missouri,1,1,2,1
Montana,1,1,4,2
Nebraska,2,2,3,5
Nevada,1,1,2,1
New Hampshire,1,1,2,1
New Jersey,2,3,1,3
New Mexico,1,1,2,1
New York,1,3,1,3
North Carolina,1,1,2,1
North Dakota,2,2,3,4
Ohio,2,2,3,4
Oklahoma,1,1,2,1
Oregon,1,1,2,1
Pennsylvania,2,2,1,4
Rhode Island,1,3,1,3
South Carolina,1,1,2,1
South Dakota,1,1,4,1
Tennessee,1,1,2,1
Texas,1,1,2,1
Utah,1,3,4,4
Vermont,1,1,4,2
Virginia,1,1,2,1
Washington,1,1,2,1
West Virginia,1,1,2,1
Wisconsin,2,2,3,5
Wyoming,1,1,4,2
