state,two_class,three_class,four_class,five_class
Alabama,2,2,2,would not converge
Alaska,2,2,2,
Arizona,2,2,2,
Arkansas,2,2,2,
California,2,2,4,
Colorado,2,2,4,
Connecticut,2,3,4,
Delaware,2,2,2,
District of Columbia,1,1,1,
Florida,2,2,2,
Georgia,2,2,2,
Hawaii,2,2,2,
Idaho,2,2,2,
Illinois,2,3,3,
Indiana,2,2,2,
Iowa,2,3,3,
Kansas,2,2,4,
Kentucky,2,2,2,
Louisiana,2,2,4,
Maine,2,2,2,
Maryland,2,2,2,
Massachusetts,2,2,4,
Michigan,2,3,3,
Minnesota,2,3,3,
Mississippi,2,2,2,
Missouri,2,2,2,
Montana,2,2,2,
Nebraska,2,3,3,
Nevada,2,2,2,
New Hampshire,2,2,2,
New Jersey,2,3,4,
New Mexico,2,2,2,
New York,2,2,4,
North Carolina,2,2,2,
North Dakota,2,3,3,
Ohio,2,3,4,
Oklahoma,2,2,2,
Oregon,2,2,2,
Pennsylvania,2,3,4,
Rhode Island,2,2,4,
South Carolina,2,2,2,
South Dakota,2,2,2,
Tennessee,2,2,2,
Texas,2,2,2,
Utah,2,2,4,
Vermont,2,2,2,
Virginia,2,2,2,
Washington,2,2,2,
West Virginia,2,2,2,
Wisconsin,2,3,3,
Wyoming,2,2,2,
