state,year,total_pop_white_non_hispanic,labor_force_white_non_hispanic,unemployment_white_non_hispanic,total_pop_black,labor_force_black,unemployment_black,bw_unemploy_RR
Alabama,2019,2637724,0.5670000000000001,0.046,1014203,0.5760000000000001,0.095,2.0652173913043477
Alaska,2019,366050,0.6940000000000001,0.052000000000000005,19519,0.747,0.047,0.9038461538461537
Arizona,2019,3293587,0.564,0.049,243885,0.6609999999999999,0.085,1.7346938775510206
Arkansas,2019,1780153,0.57,0.044000000000000004,349442,0.5760000000000001,0.09,2.045454545454545
California,2019,12555574,0.612,0.051,1846975,0.603,0.10400000000000001,2.03921568627451
Colorado,2019,3190274,0.6809999999999999,0.038,181614,0.6829999999999999,0.069,1.8157894736842106
Connecticut,2019,2037491,0.653,0.046,303342,0.679,0.10400000000000001,2.2608695652173916
Delaware,2019,508971,0.605,0.046,165526,0.652,0.081,1.7608695652173914
District of Columbia,2019,228162,0.804,0.026000000000000002,258159,0.591,0.132,5.076923076923077
Florida,2019,9729325,0.5429999999999999,0.047,2595275,0.634,0.091,1.9361702127659575
Georgia,2019,4520489,0.614,0.043,2539058,0.644,0.086,2
Hawaii,2019,272710,0.652,0.045,22001,0.792,0.09300000000000001,2.066666666666667
Idaho,2019,1115497,0.617,0.04,8317,0.659,0.085,2.125
Illinois,2019,6524597,0.647,0.043,1420485,0.607,0.141,3.2790697674418605
Indiana,2019,4286438,0.636,0.04,472270,0.627,0.107,2.675
Iowa,2019,2189548,0.6679999999999999,0.032,82179,0.695,0.106,3.3125
Kansas,2019,1789577,0.6579999999999999,0.035,130289,0.662,0.078,2.228571428571428
Kentucky,2019,3063006,0.583,0.051,279062,0.639,0.095,1.8627450980392157
Louisiana,2019,2237925,0.598,0.047,1144894,0.578,0.1,2.127659574468085
Maine,2019,1049550,0.628,0.04,12791,0.7090000000000001,0.075,1.875
Maryland,2019,2564668,0.659,0.038,1431313,0.68,0.075,1.9736842105263157
Massachusetts,2019,4175586,0.6679999999999999,0.040999999999999995,406786,0.698,0.085,2.0731707317073176
Michigan,2019,6200298,0.614,0.046,1069400,0.59,0.133,2.8913043478260874
Minnesota,2019,3651287,0.691,0.028999999999999998,244330,0.713,0.08800000000000001,3.03448275862069
Mississippi,2019,1380403,0.57,0.052000000000000005,859433,0.57,0.111,2.1346153846153846
Missouri,2019,3964827,0.625,0.039,539702,0.635,0.092,2.358974358974359
Montana,2019,746789,0.633,0.035,4103,0.784,0.066,1.8857142857142857
Nebraska,2019,1222664,0.691,0.026000000000000002,67854,0.6890000000000001,0.08,3.0769230769230766
Nevada,2019,1250190,0.6,0.055,209400,0.624,0.10300000000000001,1.8727272727272728
New Hampshire,2019,1023534,0.675,0.034,16622,0.688,0.081,2.3823529411764706
New Jersey,2019,4119995,0.6409999999999999,0.046,954226,0.649,0.098,2.130434782608696
New Mexico,2019,679420,0.552,0.05,34604,0.611,0.073,1.4599999999999997
New York,2019,9144360,0.632,0.040999999999999995,2456766,0.611,0.091,2.2195121951219514
North Carolina,2019,5422254,0.61,0.043,1741169,0.629,0.091,2.116279069767442
North Dakota,2019,518391,0.701,0.022000000000000002,15977,0.7959999999999999,0.073,3.3181818181818175
Ohio,2019,7564239,0.631,0.043,1109308,0.621,0.115,2.674418604651163
Oklahoma,2019,2128584,0.6,0.042,220596,0.619,0.095,2.261904761904762
Oregon,2019,2638096,0.607,0.052000000000000005,61599,0.6579999999999999,0.09,1.7307692307692306
Pennsylvania,2019,8215646,0.628,0.042,1107651,0.6,0.111,2.642857142857143
Rhode Island,2019,657920,0.644,0.044000000000000004,55348,0.659,0.09699999999999999,2.204545454545454
South Carolina,2019,2665173,0.595,0.045,1056455,0.609,0.091,2.022222222222222
South Dakota,2019,576684,0.691,0.022000000000000002,12302,0.72,0.038,1.727272727272727
Tennessee,2019,4089382,0.601,0.045,870706,0.642,0.08900000000000001,1.977777777777778
Texas,2019,9800605,0.629,0.040999999999999995,2641668,0.659,0.078,1.902439024390244
Utah,2019,1817121,0.6759999999999999,0.033,25517,0.695,0.064,1.9393939393939394
Vermont,2019,488164,0.654,0.035,6354,0.7340000000000001,0.044000000000000004,1.2571428571428571
Virginia,2019,4345537,0.639,0.038,1291833,0.6609999999999999,0.073,1.9210526315789473
Washington,2019,4251341,0.628,0.045,219314,0.696,0.078,1.7333333333333334
West Virginia,2019,1382818,0.531,0.064,54975,0.535,0.105,1.640625
Wisconsin,2019,3912146,0.664,0.03,270598,0.603,0.1,3.3333333333333335
Wyoming,2019,394763,0.66,0.040999999999999995,4335,0.731,0.08900000000000001,2.1707317073170738
Puerto Rico,2019,26397,0.506,0.10400000000000001,328458,0.456,0.171,1.6442307692307692
