Offender Characteristics from NCRP,,Year,,,,,,,,,
State,Race/Hispanic Ethnicity of Inmate,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALABAMA,"White, non-Hispanic",12723,13217,13373,13403,13154,12969,12305,12195,12259,13143
,"Black, non-Hispanic",*,*,*,*,*,*,*,*,*,*
,"Hispanic, any race",*,*,*,*,*,*,*,*,*,*
,"Other race(s), non-Hispanic",*,*,*,*,*,*,*,*,*,*
,Missing,19038,19050,19055,18975,18613,17838,16576,15408,14578,15159
ALASKA,"White, non-Hispanic",*,*,*,*,2819,2565,2067,2031,1971,1991
,"Black, non-Hispanic",*,*,*,*,514,501,443,449,458,441
,"Hispanic, any race",*,*,*,*,143,137,132,120,145,135
,"Other race(s), non-Hispanic",*,*,*,*,2279,2098,1754,1766,1779,1884
,Missing,5391,5597,5633,5081,39,37,38,34,27,24
ARIZONA,"White, non-Hispanic",15454,15632,15861,16155,16684,16754,16475,16350,16392,*
,"Black, non-Hispanic",5294,5354,5292,5411,5604,5831,5860,5915,6096,*
,"Hispanic, any race",16729,16459,16348,16887,17111,17232,17017,16730,16406,*
,"Other race(s), non-Hispanic",2726,2573,2577,2717,2857,2897,2956,3024,3093,*
,Missing,*,*,*,*,*,*,12,12,18,*
ARKANSAS,"White, non-Hispanic",8729,8724,7863,9357,9953,9794,9744,10116,9984,10049
,"Black, non-Hispanic",6900,6804,6246,7237,7265,7225,7067,7192,7069,6959
,"Hispanic, any race",104,106,98,101,95,93,85,92,83,85
,"Other race(s), non-Hispanic",471,474,447,540,561,595,642,670,663,665
,Missing,*,*,*,*,*,*,*,*,*,*
CALIFORNIA,"White, non-Hispanic",41315,35953,31055,30716,30505,28254,28210,28069,27192,25601
,"Black, non-Hispanic",47981,43551,39622,39368,39118,37118,37137,37329,36499,34812
,"Hispanic, any race",65245,60176,54516,55698,56552,54887,55843,56849,56511,54342
,"Other race(s), non-Hispanic",8728,9867,9336,10156,9801,9139,8890,8788,8419,7928
,Missing,1792,21,*,44,109,195,*,*,*,*
COLORADO,"White, non-Hispanic",10004,9768,9099,9077,9423,9207,9244,9191,9352,9020
,"Black, non-Hispanic",4400,4207,3939,3853,3862,3640,3561,3513,3538,3503
,"Hispanic, any race",7547,7163,6650,6647,6563,6373,6335,6340,6489,6268
,"Other race(s), non-Hispanic",863,841,774,794,797,820,840,902,992,991
,Missing,*,*,*,*,*,*,*,*,*,*
CONNECTICUT,"White, non-Hispanic",5875,5783,5620,5532,5386,5214,4779,4386,4179,3876
,"Black, non-Hispanic",8224,7708,7266,7361,6926,6449,6193,5835,5851,5453
,"Hispanic, any race",5101,4725,4531,4555,4215,4017,3882,3712,3564,3381
,"Other race(s), non-Hispanic",121,108,114,115,108,135,103,107,87,113
,Missing,*,*,*,*,*,*,*,*,*,*
DELAWARE,"White, non-Hispanic",2404,2566,2735,2798,2899,2674,2612,2479,2235,2002
,"Black, non-Hispanic",3955,3916,3905,3934,3777,3715,3710,3712,3601,3404
,"Hispanic, any race",251,248,264,262,270,257,249,244,225,272
,"Other race(s), non-Hispanic",*,*,*,*,*,*,11,*,*,*
,Missing,*,*,*,*,*,*,*,*,*,*
FLORIDA,"White, non-Hispanic",41426,41158,40737,41260,41103,39956,39080,38781,38658,37791
,"Black, non-Hispanic",50147,48885,48249,48711,48347,47882,47174,46229,45538,44887
,"Hispanic, any race",11430,11756,11639,11764,12057,12145,12190,11818,11751,11659
,"Other race(s), non-Hispanic",684,639,626,616,632,625,627,702,772,783
,Missing,619,616,679,677,731,816,902,974,820,890
GEORGIA,"White, non-Hispanic",18486,18551,18439,18100,17910,18048,18718,19100,19086,19755
,"Black, non-Hispanic",35280,34626,34323,33332,32558,31832,32568,32208,32090,32608
,"Hispanic, any race",2440,2547,2464,2352,2248,2078,2086,2115,2232,2222
,"Other race(s), non-Hispanic",223,216,225,213,224,225,247,231,232,228
,Missing,*,*,*,*,*,11,*,12,*,*
HAWAII,"White, non-Hispanic",*,*,*,*,*,1304,1263,1300,1216,1233
,"Black, non-Hispanic",*,*,*,*,*,276,273,272,224,225
,"Hispanic, any race",*,*,*,*,*,165,162,154,138,136
,"Other race(s), non-Hispanic",*,*,*,*,*,3787,3559,3525,3401,3267
,Missing,*,*,*,*,*,346,345,379,396,418
IDAHO,"White, non-Hispanic",5528,*,5909,6154,6126,6082,6102,*,6495,8213
,"Black, non-Hispanic",179,*,216,219,231,209,211,*,247,286
,"Hispanic, any race",1236,*,1274,1244,1193,1261,234,*,194,203
