"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","2,259,133","±1,012","317,561","±226","2,769,769","±543","1,523,085","±449","11,190,679","±1,757","2,575,395","±872","1,827,629","±661","430,889","±337","170,157","±178","8,334,378","±2,133","3,811,820","±903","245,338","±125","884,691","±388","5,788,056","±1,329","3,615,852","±521","1,859,261","±258","1,526,487","±372","2,596,855","±603","1,916,796","±557","907,668","±242","2,271,684","±613","3,601,614","±1,269","5,278,006","±616","3,114,738","±463","1,193,161","±516","3,365,586","±571","618,529","±189","1,033,420","±257","1,095,797","±428","859,401","±262","3,724,522","±1,326","630,061","±471","8,076,448","±1,418","4,490,567","±789","417,988","±127","6,505,228","±681","1,833,660","±376","2,210,984","±707","7,205,006","±838","575,184","±499","2,148,564","±412","479,572","±259","3,411,682","±748","8,248,306","±1,257","1,362,444","±386","415,165","±96","3,705,636","±985","3,552,893","±621","1,221,493","±294","3,348,784","±452","334,607","±159","18,756","±1,024"
"    Male:","1,084,202","±698","168,177","±193","1,350,412","±371","734,742","±299","5,511,454","±1,085","1,268,412","±691","870,225","±370","205,116","±220","86,028","±134","4,026,462","±1,184","1,843,082","±577","133,526","±105","435,053","±196","2,786,673","±1,111","1,743,821","±396","900,647","±206","738,254","±251","1,247,660","±434","928,972","±355","435,124","±201","1,091,284","±367","1,707,950","±862","2,558,465","±385","1,520,178","±293","575,067","±348","1,623,882","±416","307,205","±134","501,757","±206","556,545","±315","417,146","±156","1,773,386","±812","306,454","±348","3,871,907","±809","2,146,079","±475","209,618","±118","3,125,232","±480","885,515","±254","1,070,843","±428","3,452,627","±599","270,763","±254","1,031,525","±278","236,285","±220","1,632,845","±509","4,018,346","±983","673,150","±246","200,419","±60","1,798,574","±857","1,744,567","±400","590,191","±254","1,637,009","±259","168,614","±111","9,473","±736"
"        Less than high school diploma","157,565","±2,145","8,287","±668","88,145","±2,126","100,740","±1,797","336,140","±4,066","59,411","±1,680","62,132","±1,472","20,561","±972","391","±132","372,880","±4,908","219,431","±3,096","4,622","±469","34,223","±1,229","198,542","±2,933","191,796","±2,836","68,006","±1,498","51,578","±1,246","216,827","±2,866","130,554","±2,642","41,711","±1,165","86,715","±1,905","129,989","±2,690","240,626","±2,957","91,751","±1,437","86,956","±2,208","177,350","±2,563","22,498","±900","30,891","±1,016","41,280","±1,405","35,262","±1,366","125,553","±2,285","18,640","±928","316,487","±3,579","255,624","±4,252","17,617","±682","322,184","±3,918","95,647","±1,491","82,152","±1,861","319,468","±3,628","30,872","±1,160","123,534","±2,591","19,887","±783","232,681","±3,303","291,221","±3,716","36,443","±1,316","19,013","±642","178,313","±2,524","115,231","±2,351","98,721","±2,071","126,195","±1,984","10,924","±727","1,374","±299"
"        High school graduate (includes equivalency)","330,904","±3,575","45,972","±1,181","307,160","±3,483","266,914","±2,981","1,057,550","±8,168","259,643","±3,090","239,658","±2,945","65,343","±1,570","2,342","±372","1,154,614","±8,948","522,203","±5,424","27,106","±1,141","121,412","±1,897","765,564","±5,502","633,096","±4,460","313,652","±2,746","210,939","±2,198","445,139","±3,566","317,077","±3,593","152,988","±1,660","276,984","±3,038","454,055","±4,203","785,088","±4,305","420,594","±3,530","173,572","±2,243","534,594","±4,054","95,146","±1,404","147,390","±1,947","157,559","±2,454","127,497","±1,924","495,152","±4,858","67,652","±1,433","1,037,266","±6,440","576,006","±4,798","60,897","±1,366","1,115,269","±5,448","284,232","±2,798","268,606","±3,251","1,292,985","±6,897","75,601","±1,812","286,985","±3,427","79,548","±1,282","549,052","±3,854","963,175","±6,161","144,911","±2,260","68,566","±1,212","447,195","±4,812","416,685","±3,953","252,862","±2,703","552,560","±3,769","52,965","±1,358","2,117","±314"
"        Some college or associate's degree","309,045","±3,436","63,120","±1,408","486,435","±4,140","202,925","±2,558","1,808,956","±8,024","393,572","±3,583","205,813","±2,635","53,820","±1,238","6,281","±532","1,209,323","±7,123","492,451","±4,971","45,945","±1,368","154,924","±1,903","812,519","±4,356","491,913","±3,093","282,074","±3,203","232,719","±2,067","315,852","±3,011","242,756","±3,383","121,395","±1,579","258,068","±2,760","392,990","±3,604","817,085","±4,210","493,268","±3,484","176,712","±2,679","463,214","±3,624","97,560","±1,390","170,894","±1,637","203,310","±2,771","114,373","±2,144","414,719","±3,850","100,977","±1,979","986,782","±5,663","635,822","±5,005","76,288","±1,460","844,260","±4,646","271,500","±2,908","376,446","±3,692","805,757","±4,488","68,962","±1,681","303,286","±2,968","72,447","±1,283","423,989","±3,387","1,280,959","±7,005","245,629","±2,863","47,545","±915","453,989","±3,766","602,438","±4,220","130,775","±2,051","499,429","±3,469","61,436","±1,380","2,324","±333"
"        Bachelor's degree or higher","286,688","±3,184","50,798","±1,142","468,672","±4,542","164,163","±2,378","2,308,808","±10,378","555,786","±4,629","362,622","±2,798","65,392","±1,391","77,014","±664","1,289,645","±7,710","608,997","±5,620","55,853","±1,297","124,494","±1,736","1,010,048","±5,933","427,016","±4,137","236,915","±2,709","243,018","±2,073","269,842","±3,356","238,585","±3,046","119,030","±1,854","469,517","±3,487","730,916","±4,827","715,666","±4,678","514,565","±3,874","137,827","±2,488","448,724","±3,943","92,001","±1,537","152,582","±2,024","154,396","±2,464","140,014","±2,295","737,962","±5,035","119,185","±1,931","1,531,372","±7,624","678,627","±5,829","54,816","±1,354","843,519","±6,621","234,136","±2,332","343,639","±3,129","1,034,417","±6,632","95,328","±1,824","317,720","±3,687","64,403","±1,319","427,123","±4,142","1,482,991","±9,325","246,167","±2,808","65,295","±1,175","719,077","±4,944","610,213","±4,543","107,833","±2,181","458,825","±3,476","43,289","±1,171","3,658","±428"
"    Female:","1,174,931","±616","149,384","±164","1,419,357","±361","788,343","±267","5,679,225","±1,082","1,306,983","±491","957,404","±423","225,773","±185","84,129","±87","4,307,916","±1,224","1,968,738","±524","111,812","±87","449,638","±241","3,001,383","±516","1,872,031","±277","958,614","±131","788,233","±217","1,349,195","±284","987,824","±326","472,544","±87","1,180,400","±354","1,893,664","±707","2,719,541","±342","1,594,560","±245","618,094","±343","1,741,704","±290","311,324","±111","531,663","±114","539,252","±230","442,255","±137","1,951,136","±714","323,607","±319","4,204,541","±878","2,344,488","±504","208,370","±41","3,379,996","±492","948,145","±214","1,140,141","±383","3,752,379","±421","304,421","±328","1,117,039","±202","243,287","±136","1,778,837","±402","4,229,960","±791","689,294","±220","214,746","±61","1,907,062","±451","1,808,326","±371","631,302","±186","1,711,775","±251","165,993","±73","9,283","±557"
"        Less than high school diploma","153,733","±2,406","5,895","±495","84,679","±2,313","97,873","±2,042","326,277","±3,678","52,934","±1,512","62,278","±1,636","18,598","±928","446","±153","345,783","±4,524","209,563","±3,304","3,837","±363","31,888","±1,191","209,318","±2,958","194,585","±3,197","60,703","±1,321","51,122","±1,097","201,706","±2,847","118,977","±2,290","33,838","±1,077","83,912","±1,865","131,119","±2,175","227,042","±2,831","75,475","±1,405","76,203","±1,742","180,385","±2,946","19,431","±909","28,217","±868","41,200","±1,390","28,737","±1,187","139,521","±2,199","17,622","±877","318,163","±3,628","222,067","±3,522","14,877","±605","323,427","±3,876","95,803","±1,481","74,296","±1,884","331,848","±3,612","32,182","±1,014","117,388","±2,463","15,917","±778","228,013","±3,121","303,011","±4,009","33,416","±1,190","14,217","±627","160,052","±2,445","100,668","±2,222","91,609","±2,139","109,522","±1,776","9,763","±667","1,793","±294"
"        High school graduate (includes equivalency)","364,568","±3,899","32,779","±1,086","347,835","±3,526","273,127","±3,310","1,125,729","±8,553","266,061","±2,898","255,113","±2,740","73,855","±1,440","2,384","±350","1,329,374","±8,871","570,461","±4,576","21,230","±962","126,451","±1,928","833,652","±4,546","664,576","±4,083","304,471","±2,433","208,000","±2,514","442,644","±3,476","336,963","±3,117","153,775","±1,916","302,927","±2,766","471,317","±3,913","845,651","±4,641","413,374","±3,065","186,442","±2,661","545,174","±4,000","88,746","±1,565","147,279","±1,748","158,167","±2,668","125,308","±2,003","598,714","±4,096","67,859","±1,337","1,156,672","±6,606","610,891","±4,558","54,507","±1,151","1,192,153","±6,146","301,459","±2,454","283,859","±3,042","1,421,414","±5,814","82,560","±1,625","321,718","±2,811","73,029","±1,165","596,009","±4,668","1,073,477","±6,937","163,419","±2,053","60,563","±979","472,775","±4,256","426,175","±3,784","253,029","±2,820","549,323","±3,237","43,963","±1,131","1,692","±249"
"        Some college or associate's degree","364,652","±3,175","56,953","±1,199","540,971","±4,501","243,193","±2,797","2,021,395","±7,899","425,639","±3,190","251,298","±2,468","63,171","±1,555","5,811","±525","1,419,592","±7,639","573,119","±4,628","38,789","±1,141","176,567","±2,056","906,402","±4,980","558,632","±3,696","331,993","±2,837","268,918","±2,792","403,034","±3,451","274,623","±3,282","145,631","±1,936","308,660","±2,914","492,248","±3,920","913,124","±4,507","549,539","±3,030","207,659","±2,509","533,251","±3,856","107,365","±1,631","191,038","±1,791","202,823","±2,546","134,111","±1,948","462,793","±3,398","114,225","±1,982","1,077,150","±5,617","780,684","±5,708","77,021","±1,034","986,901","±4,945","307,494","±2,266","426,325","±3,248","914,646","±4,850","87,455","±1,905","356,259","±3,435","83,977","±1,399","506,356","±3,981","1,411,881","±7,021","287,372","±2,457","59,743","±1,061","547,603","±4,136","686,747","±4,432","167,951","±2,230","548,339","±3,526","67,115","±1,119","2,553","±331"
