"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","831,045","±1,371","15,401","±472","196,606","±1,501","281,226","±1,044","1,544,982","±3,732","149,058","±1,432","246,556","±1,777","136,568","±747","218,421","±753","2,128,338","±4,311","2,079,101","±3,167","17,429","±554","5,476","±494","1,165,513","±1,914","380,821","±1,458","62,522","±1,132","103,225","±873","223,886","±1,111","932,703","±1,491","9,276","±457","1,206,302","±2,130","329,719","±2,511","873,014","±1,732","193,678","±1,222","695,072","±1,293","438,904","±1,424","3,051","±323","53,373","±573","174,806","±1,211","12,526","±609","793,348","±2,665","27,008","±667","2,054,954","±5,531","1,435,294","±2,514","11,984","±425","911,714","±1,932","177,080","±1,123","50,259","±763","902,460","±2,456","43,097","±1,005","870,680","±1,663","9,371","±374","710,073","±1,803","2,165,688","±3,696","18,531","±539","4,282","±248","1,072,984","±2,372","180,350","±1,698","43,749","±700","212,316","±1,026","3,206","±360","281,690","±4,970"
"    Male:","369,995","±836","8,925","±273","100,895","±1,120","128,156","±717","753,780","±2,431","80,928","±1,061","113,157","±1,088","61,745","±454","95,122","±425","989,377","±2,963","927,946","±2,111","11,166","±400","3,747","±373","523,779","±1,528","176,021","±996","33,726","±703","52,690","±601","107,984","±837","425,141","±985","5,460","±310","540,678","±1,284","156,197","±1,553","397,776","±1,091","98,609","±838","313,353","±1,062","199,128","±1,042","2,017","±249","27,015","±415","85,799","±808","7,691","±412","360,161","±1,687","15,687","±480","914,857","±3,174","642,306","±1,668","7,276","±378","420,846","±1,234","86,962","±773","27,395","±623","419,507","±1,505","21,507","±701","388,563","±1,024","6,051","±307","323,197","±1,211","1,014,227","±2,434","11,274","±357","2,610","±233","500,520","±1,825","98,960","±1,042","24,329","±511","100,031","±807","1,881","±248","136,616","±2,772"
"        Less than high school diploma","71,286","±1,860","633","±158","10,702","±905","22,214","±1,067","84,910","±2,253","7,410","±770","16,703","±959","7,391","±523","14,101","±1,051","179,775","±3,186","140,100","±2,779","466","±195","279","±110","80,207","±1,771","26,668","±1,233","5,304","±568","7,217","±576","15,849","±943","100,263","±2,348","909","±205","58,586","±1,754","22,217","±1,113","61,833","±1,628","15,287","±935","73,802","±1,950","29,990","±1,094","240","±110","3,397","±339","9,068","±740","930","±218","45,001","±1,407","1,523","±296","155,893","±2,908","105,065","±2,426","630","±281","64,160","±1,503","10,281","±608","3,076","±405","61,023","±1,718","2,977","±496","77,790","±1,913","929","±345","50,752","±1,772","114,792","±2,953","1,207","±249","358","±121","76,648","±1,788","8,772","±781","2,797","±339","18,603","±853","80","±51","38,808","±1,571"
"        High school graduate (includes equivalency)","145,769","±2,388","2,933","±436","26,046","±1,093","54,311","±1,521","196,396","±3,363","23,411","±1,255","43,564","±1,552","25,307","±1,050","31,840","±1,260","360,522","±4,415","329,218","±4,583","2,636","±319","935","±231","169,700","±2,848","66,833","±1,295","11,746","±898","16,681","±788","39,847","±1,193","171,620","±2,987","1,470","±221","177,692","±2,719","48,106","±1,602","144,474","±2,556","26,625","±1,193","118,408","±2,237","72,792","±2,059","551","±172","8,766","±561","29,936","±1,141","2,460","±433","135,360","±2,579","3,777","±560","313,566","±3,992","224,602","±3,104","2,043","±389","152,666","±1,943","32,027","±994","6,733","±578","172,956","±2,289","6,742","±599","156,539","±2,797","2,012","±387","122,525","±2,270","330,021","±4,864","2,984","±424","539","±158","169,198","±3,167","26,001","±1,333","10,252","±686","37,859","±1,142","443","±171","44,510","±1,492"
"        Some college or associate's degree","100,680","±2,133","4,066","±424","39,919","±1,297","35,688","±1,412","290,997","±3,506","29,378","±1,296","31,192","±1,338","16,197","±852","23,466","±1,238","286,984","±4,240","272,708","±4,146","5,240","±448","1,452","±322","176,058","±3,039","53,785","±1,540","10,523","±707","18,679","±934","36,200","±1,388","103,638","±2,446","1,746","±254","157,338","±2,921","46,910","±1,807","134,455","±2,097","33,968","±1,410","87,041","±1,890","64,406","±1,620","635","±182","9,285","±566","33,160","±1,025","2,203","±289","101,865","±2,223","6,440","±528","255,464","±3,369","201,569","±2,749","2,929","±457","138,154","±2,194","29,313","±974","9,758","±771","114,995","±2,682","7,224","±724","106,907","±2,411","2,056","±288","95,987","±1,920","344,918","±4,921","4,229","±420","816","±207","146,259","±2,862","39,196","±1,453","8,002","±633","32,096","±1,086","743","±237","32,386","±1,353"
"        Bachelor's degree or higher","52,260","±1,639","1,293","±257","24,228","±1,133","15,943","±1,048","181,477","±3,132","20,729","±1,023","21,698","±1,073","12,850","±864","25,715","±1,125","162,096","±3,469","185,920","±4,028","2,824","±330","1,081","±257","97,814","±2,557","28,735","±1,253","6,153","±638","10,113","±691","16,088","±811","49,620","±1,831","1,335","±260","147,062","±2,811","38,964","±1,848","57,014","±1,794","22,729","±1,166","34,102","±1,388","31,940","±1,373","591","±176","5,567","±493","13,635","±828","2,098","±353","77,935","±2,323","3,947","±484","189,934","±3,118","111,070","±2,615","1,674","±425","65,866","±1,923","15,341","±798","7,828","±581","70,533","±2,078","4,564","±551","47,327","±1,938","1,054","±288","53,933","±1,720","224,496","±4,381","2,854","±394","897","±173","108,415","±2,357","24,991","±1,092","3,278","±422","11,473","±740","615","±188","20,912","±1,088"
"    Female:","461,050","±991","6,476","±336","95,711","±938","153,070","±649","791,202","±2,409","68,130","±781","133,399","±1,056","74,823","±478","123,299","±575","1,138,961","±2,579","1,151,155","±1,993","6,263","±343","1,729","±299","641,734","±1,243","204,800","±968","28,796","±737","50,535","±632","115,902","±740","507,562","±1,005","3,816","±257","665,624","±1,418","173,522","±1,462","475,238","±1,189","95,069","±769","381,719","±842","239,776","±873","1,034","±184","26,358","±404","89,007","±871","4,835","±379","433,187","±1,529","11,321","±438","1,140,097","±3,356","792,988","±1,713","4,708","±282","490,868","±1,433","90,118","±715","22,864","±475","482,953","±1,499","21,590","±672","482,117","±1,121","3,320","±296","386,876","±1,177","1,151,461","±2,791","7,257","±347","1,672","±156","572,464","±1,573","81,390","±1,150","19,420","±450","112,285","±712","1,325","±251","145,074","±3,170"
"        Less than high school diploma","68,201","±1,945","316","±146","9,536","±884","23,805","±1,074","73,015","±2,013","7,190","±728","16,348","±868","7,259","±622","15,814","±944","177,679","±3,976","137,057","±2,424","261","±131","251","±127","76,913","±2,312","27,023","±1,266","4,713","±472","5,513","±433","15,029","±864","85,703","±2,196","712","±178","59,228","±1,641","25,439","±1,236","59,195","±1,535","20,962","±933","67,245","±1,806","29,818","±1,266","85","±60","3,743","±416","9,207","±821","775","±218","48,817","±1,551","1,079","±254","176,565","±2,935","102,204","±2,401","970","±290","64,781","±1,777","9,030","±615","2,960","±447","62,171","±2,026","3,509","±459","74,625","±1,949","1,046","±262","48,744","±1,590","106,736","±2,799","1,103","±271","119","±70","74,061","±1,824","9,588","±677","1,730","±305","16,441","±701","157","±89","32,863","±1,326"
"        High school graduate (includes equivalency)","141,203","±2,485","1,566","±286","20,485","±1,013","46,964","±1,608","175,480","±3,259","16,889","±856","43,477","±1,541","25,381","±1,085","39,517","±1,309","347,294","±5,300","314,765","±4,039","961","±236","511","±240","164,189","±2,995","61,988","±1,714","8,302","±743","14,640","±737","34,324","±1,295","168,130","±3,089","1,030","±234","177,845","±2,931","46,690","±1,638","129,468","±2,223","22,303","±1,117","110,784","±2,464","69,985","±1,760","113","±59","7,181","±542","26,643","±1,184","1,385","±249","133,765","±2,693","2,238","±311","326,014","±3,892","210,478","±3,313","1,245","±298","145,516","±2,350","28,020","±1,031","4,867","±586","164,043","±2,873","7,113","±703","158,108","±2,947","967","±230","116,764","±2,511","300,755","±4,019","1,707","±294","286","±92","151,554","±2,929","19,266","±991","6,990","±473","34,541","±1,083","329","±139","37,944","±1,582"
"        Some college or associate's degree","154,710","±2,884","2,688","±364","40,026","±1,333","53,869","±1,616","327,037","±3,417","25,589","±1,223","42,634","±1,369","23,172","±1,075","33,965","±1,217","365,875","±5,095","387,051","±4,490","2,670","±279","603","±189","246,048","±2,870","75,456","±1,802","11,292","±754","19,636","±884","44,400","±1,423","157,301","±2,953","1,007","±245","213,056","±3,117","53,668","±1,678","191,175","±2,567","33,460","±1,170","130,740","±2,576","90,475","±1,898","414","±151","9,637","±590","35,627","±1,403","1,422","±263","135,664","±2,188","4,398","±456","333,342","±4,145","285,914","±3,665","1,446","±298","189,818","±2,626","33,908","±993","9,242","±644","154,381","±2,781","6,407","±619","159,553","±2,763","820","±287","130,441","±2,409","436,433","±4,604","2,777","±399","628","±105","194,122","±2,711","32,133","±1,183","7,333","±452","41,760","±1,166","510","±196","38,071","±1,486"
