"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Households","Households!!One race--","Households!!One race--!!White","Households!!One race--!!Black or African American","Households!!One race--!!American Indian and Alaska Native","Households!!One race--!!Asian","Households!!One race--!!Native Hawaiian and Other Pacific Islander","Households!!One race--!!Some other race","Households!!Two or more races","Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children under 18 years","FAMILIES!!Families!!With no own children under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Female householder, no husband present","FAMILIES!!Families!!Male householder, no wife present","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","PERCENT IMPUTED","PERCENT IMPUTED!!Household income in the past 12 months","PERCENT IMPUTED!!Family income in the past 12 months","PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,842,174","","71.4%","25.3%","0.5%","1.0%","0.0%","0.8%","1.0%","2.6%","69.7%","","4.4%","31.8%","39.6%","24.2%","","1,240,382","40.9%","59.1%","71.0%","22.7%","6.3%","","601,792","54.6%","49.1%","5.5%","45.4%","38.3%","7.1%","","31.2%","31.8%","28.6%"
"        Margin of Error","","±5,671","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.2","±0.1","","±5,718","±0.3","±0.3","±0.3","±0.3","±0.2","","±4,435","±0.4","±0.4","±0.2","±0.4","±0.3","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","43,511","","49,989","29,055","37,727","56,276","95,848","31,911","36,328","34,763","50,353","","20,560","47,850","52,048","33,444","","54,724","51,206","56,934","68,721","25,103","38,141","","24,650","21,177","19,969","37,034","30,182","27,382","44,446","","(X)","(X)","(X)"
"        Margin of Error","","±226","","±307","±384","±3,257","±4,722","±27,518","±2,702","±2,213","±1,337","±293","","±769","±539","±401","±357","","±396","±605","±494","±524","±373","±1,087","","±304","±266","±280","±1,588","±462","±514","±1,798","","(X)","(X)","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","251,678","","74.7%","3.5%","11.4%","3.9%","0.7%","1.0%","4.8%","4.7%","71.8%","","5.4%","36.8%","43.0%","14.8%","","168,552","49.3%","50.7%","74.7%","16.8%","8.6%","","83,126","43.7%","34.5%","9.1%","56.3%","42.6%","13.7%","","26.2%","26.7%","22.5%"
