"Label (Grouping)","Occupied housing units","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Hispanic or Latino origin","White alone, not Hispanic or Latino","AGE OF HOUSEHOLDER","AGE OF HOUSEHOLDER!!Under 35 years","AGE OF HOUSEHOLDER!!35 to 44 years","AGE OF HOUSEHOLDER!!45 to 54 years","AGE OF HOUSEHOLDER!!55 to 64 years","AGE OF HOUSEHOLDER!!65 to 74 years","AGE OF HOUSEHOLDER!!75 to 84 years","AGE OF HOUSEHOLDER!!85 years and over","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,842,174","","","71.4%","25.3%","0.5%","1.0%","0.0%","0.8%","1.0%","2.6%","69.7%","","19.1%","17.1%","20.2%","19.5%","13.7%","7.8%","2.7%","","14.9%","28.8%","31.6%","24.7%","","23.2%","40.5%","17.3%","8.1%","6.1%","4.9%"
"        Margin of Error","±5,671","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,274,196","","","78.1%","19.2%","0.5%","0.8%","0.0%","0.4%","0.9%","1.7%","77.0%","","10.8%","15.6%","21.7%","22.5%","16.8%","9.5%","3.1%","","12.9%","28.5%","30.4%","28.2%","","10.5%","41.2%","22.5%","10.8%","8.4%","6.6%"
"        Margin of Error","±6,461","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.2","","±0.2","±0.3","±0.2","±0.2","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","567,978","","","56.2%","39.1%","0.5%","1.5%","0.0%","1.4%","1.2%","4.6%","53.4%","","37.7%","20.3%","16.8%","12.6%","6.8%","3.9%","2.0%","","19.4%","29.5%","34.3%","16.8%","","51.6%","38.9%","5.5%","1.9%","1.0%","1.1%"
"        Margin of Error","±3,897","","","±0.4","±0.4","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.4","","±0.4","±0.3","±0.3","±0.3","±0.2","±0.1","±0.1","","±0.4","±0.5","±0.5","±0.4","","±0.5","±0.5","±0.2","±0.1","±0.1","±0.1"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
